anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2022,4,8.0,AUTO-UTILITARIO,LEVE,19.4,0,1.9,15.0,94.0
2022,11,20.0,PEATON-UTILITARIO,LEVE,21.4,0,0.0,22.1,51.0
2022,8,14.0,MOTO-CAMION,LEVE,12.7,0,0.0,17.5,66.0
2019,10,21.0,MOTO-TAXI,LEVE,,1,,,
2024,3,10.0,SD-SD,LEVE,20.9,1,0.0,12.4,77.0
2022,8,14.0,TRANSPORTE PUBLICO-AUTO,LEVE,9.6,0,0.0,16.4,81.0
2023,7,2.0,PEATON-MOTO,LEVE,9.3,1,0.0,9.5,68.0
2021,9,8.0,BICICLETA-AUTO,LEVE,7.1,0,0.0,3.0,79.0
2023,4,8.0,TRANSPORTE PUBLICO-OBJETO FIJO,GRAVE,19.5,1,0.0,13.0,69.0
2019,2,20.0,MOTO-AUTO,LEVE,28.4,0,,17.7,62.0
2020,10,22.0,SD-SD,LEVE,28.1,1,,8.3,63.0
2023,8,20.0,TRANSPORTE PUBLICO-SD,LEVE,12.6,1,0.0,9.6,43.0
2019,10,14.0,MOTO-AUTO,LEVE,20.0,0,,18.4,44.0
2019,5,8.0,PEATON-TAXI,LEVE,13.9,0,,1.9,95.0
2024,3,22.0,MOTO-AUTO,LEVE,27.8,1,0.0,12.7,50.0
2024,10,19.0,MIXTO-TAXI,LEVE,19.5,0,0.0,16.8,69.0
2023,5,18.0,SD-SD,LEVE,15.9,0,0.0,7.0,51.0
2021,4,21.0,MOTO-MOTO,LEVE,22.6,1,0.0,10.0,68.0
2019,12,16.0,SD-SD,LEVE,26.3,0,,10.5,44.0
2023,10,11.0,MOTO-SD,LEVE,10.3,0,0.0,27.0,70.0
2019,6,21.0,PEATON-AUTO,LEVE,13.4,0,,1.9,96.0
2020,11,18.0,MOTO-SD,LEVE,21.4,0,,17.0,47.0
2024,9,11.0,SD-SD,LEVE,14.5,0,0.0,18.5,61.0
2019,7,5.0,BICICLETA-AUTO,GRAVE,10.6,0,,18.6,71.0
2024,11,15.0,BICICLETA-TAXI,LEVE,20.4,0,0.0,16.6,63.0
2023,4,10.0,AUTO-AUTO,LEVE,17.9,1,0.0,7.7,74.0
2021,1,19.0,AUTO-AUTO,LEVE,22.8,0,0.0,15.3,36.0
