edad_victima,mes,es_fin_de_semana,temperatura_media,lluvia_mm,velocidad_viento,humedad_relativa,sexo_victima_M,rol_victima_CONDUCTOR,rol_victima_Conductor,rol_victima_PASAJERO,rol_victima_PEATON,rol_victima_SD,rol_victima_conductor,rol_victima_sd
-0.16171376649184133,2,0,28.6,0.0,11.2,45.0,1,0,0,0,0,1,0,0
-0.16171376649184133,12,0,22.0,0.0,5.2,52.0,1,0,0,0,0,1,0,0
2.2808275127042807,11,0,29.2,0.0,10.8,44.0,1,0,0,0,1,0,0,0
-1.049910595290431,5,1,14.3,0.0,16.8,75.0,0,0,0,0,0,1,0,0
1.3186142815058084,10,0,25.1,0.0,7.9,46.0,0,0,0,0,0,1,0,0
0.7264830623067485,11,0,11.4,0.0,13.5,74.0,1,0,0,0,0,1,0,0
-0.8278613880907837,3,0,20.0,0.0,7.7,92.0,0,0,0,0,0,1,0,0
0.2083682455075711,9,0,14.2,0.0,11.1,79.0,1,0,0,0,0,1,0,0
-0.08769736409195886,6,0,18.1,0.0,11.3,67.0,1,0,0,0,0,1,0,0
-0.16171376649184133,8,0,10.9,0.0,17.6,57.0,0,0,0,0,0,1,0,0
-0.16171376649184133,12,0,19.7,0.1,26.1,81.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,1,10.6,0.0,17.5,83.0,1,0,0,0,0,1,0,0
-0.16171376649184133,5,0,13.9,0.0,10.6,81.0,1,0,0,0,0,1,0,0
-0.013680961692076367,9,0,14.3,0.0,5.4,71.0,1,0,0,0,0,1,0,0
-0.16171376649184133,8,1,10.9,0.0,4.9,89.0,1,0,0,0,0,1,0,0
-1.1239269976903137,7,0,11.8,0.0,14.8,85.0,1,0,0,0,0,1,0,0
0.800499464706631,10,1,11.7,0.0,11.5,73.0,1,0,0,0,0,1,0,0
-0.16171376649184133,8,0,8.0,0.0,8.1,92.0,1,0,0,0,0,1,0,0
-0.9758941928905487,2,0,27.0,0.0,11.0,70.0,1,0,0,0,0,1,0,0
-0.16171376649184133,11,0,21.1,0.0,23.1,67.0,1,0,0,0,0,0,0,0
-0.16171376649184133,4,0,15.0,0.0,18.1,84.0,0,0,0,0,0,1,0,0
0.504433855107101,11,0,26.3,0.0,11.2,46.0,0,0,0,0,0,1,0,0
-0.013680961692076367,11,1,19.9,0.0,14.2,22.0,1,0,0,0,1,0,0,0
1.9107455007048684,2,0,23.0,0.0,6.8,63.0,1,0,0,0,0,1,0,0
-0.7538449856909012,3,0,22.9,0.0,13.6,67.0,1,0,0,0,0,1,0,0
-1.197943400090196,9,1,8.8,0.0,16.7,94.0,0,0,0,0,0,1,0,0
1.7627126959051034,9,0,20.0,0.0,15.6,78.0,1,0,0,0,0,1,0,0
1.3926306839056908,6,0,13.7,0.0,10.9,69.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,0,21.8,0.0,9.9,57.0,0,0,0,0,0,1,0,0
0.35640105030733604,8,1,18.3,0.0,6.0,78.0,0,0,0,0,0,1,0,0
-0.16171376649184133,3,0,18.0,0.0,12.6,94.0,1,0,0,0,0,1,0,0
1.2445978791059258,1,1,27.1,0.0,9.6,52.0,1,0,0,0,0,1,0,0
1.0225486719062784,7,0,12.1,0.0,8.3,79.0,1,0,0,0,0,1,0,0
0.504433855107101,10,0,18.1,0.0,11.3,67.0,1,0,0,0,0,1,0,0
0.2083682455075711,5,0,11.4,0.0,13.5,79.0,1,0,0,0,0,1,0,0
1.8367290983049858,11,0,15.7,0.6,16.1,92.0,1,0,0,0,0,1,0,0
2.502876719903928,1,0,28.0,0.0,18.0,62.0,0,0,0,0,1,0,0,0
0.35640105030733604,9,0,18.2,0.0,19.1,46.0,0,0,0,0,1,0,0,0
-0.16171376649184133,9,0,13.4,0.0,8.9,38.0,1,0,0,0,0,1,0,0
